Wall time,Step,Value
1716710800.12718,1552,-310.0
1716711286.733585,1568,-1467.0552978515625
1716711693.257837,1584,-330.0
1716711829.292616,1588,-750.4854125976562
1716712277.340761,1605,-310.0
1716713182.678062,1640,-670.5615844726562
1716714151.864425,1682,-530.0369873046875
1716714387.314992,1691,-420.3487854003906
1716714643.370396,1702,-550.1187133789062
1716714875.224096,1709,-300.0
1716715134.131887,1718,-472.5101623535156
1716715423.970016,1732,-300.0
1716715465.278101,1734,-630.7090454101562
1716715494.048814,1737,-300.0
1716716790.152334,1781,-369.9757080078125
1716718105.625972,1826,-650.073974609375
1716718746.330315,1844,-330.0
1716719049.976028,1853,-1352.494140625
1716719479.177317,1866,-620.5654907226562
1716719530.316221,1869,-280.0
1716719763.475242,1877,-310.0
1716720728.696388,1917,-310.0
1716721235.142846,1934,-639.9788818359375
1716721446.040907,1944,-310.0
1716721499.890297,1947,-609.8516235351562
1716722793.380633,2001,-300.0
1716723084.131667,2013,-947.4739379882812
1716723548.095918,2036,-320.0
1716724456.255686,2076,-832.73681640625
1716724468.393859,2077,-310.0
1716724611.301151,2085,-422.76763916015625
1716724703.537985,2089,-690.5767822265625
1716724903.684578,2096,-1000.8611450195312
1716726243.252504,2149,-591.475830078125
1716726515.583912,2156,-1198.5518798828125
1716727359.657105,2187,-1546.1878662109375
1716727406.969056,2191,-270.0
1716727719.500917,2199,-869.3464965820312
1716727978.962483,2207,-310.0
1716728049.242517,2211,-409.2439880371094
1716728566.272703,2231,-179.7803497314453
1716728671.723627,2236,-330.0
1716728719.150668,2237,-974.989501953125
1716729192.054655,2257,-420.4327087402344
1716729339.991031,2262,-629.9733276367188
1716729926.016036,2281,-1725.988525390625
1716730260.94946,2297,-300.0
1716730441.918152,2307,-270.0
1716730809.706013,2319,-996.4581298828125
1716731332.477858,2345,-330.0
1716731521.970101,2354,-230.3939208984375
1716732356.853329,2389,-300.0
1716732381.941574,2390,-141.0180206298828
1716732443.302725,2392,-320.0
1716733597.416777,2436,-440.31634521484375
1716733787.554851,2444,-600.2930297851562
1716733978.700796,2453,-270.0
1716734093.601274,2455,-1968.45263671875
1716734172.882212,2460,-450.73712158203125
1716734756.326684,2485,-310.0
1716734770.64918,2486,-379.89849853515625
1716734994.971633,2496,-641.3372802734375
1716735032.593897,2498,-290.0
