Wall time,Step,Value
1717132910.465421,1072,-400.7602233886719
1717133145.235196,1078,-301.0521240234375
1717133333.218788,1083,293.3559875488281
1717133644.505403,1093,-590.0
1717133865.239022,1099,-389.41265869140625
1717134187.308119,1104,-200.11810302734375
1717134553.642333,1114,-400.12646484375
1717136082.240959,1156,-901.4032592773438
1717136130.707801,1160,-280.0
1717136171.907821,1161,-831.583984375
1717136177.144313,1162,-260.0
1717136765.438327,1180,-560.5923461914062
1717137361.775867,1193,-2656.791015625
1717137763.932961,1206,-1110.0
1717138712.690251,1244,-300.0
1717139171.715606,1255,-1110.0
1717139335.553848,1258,-592.138427734375
1717139451.816341,1261,-1023.392578125
1717140042.486008,1281,-280.0
1717140235.468549,1287,-664.1043701171875
1717140481.195312,1294,-856.88623046875
1717140655.968358,1300,-1373.97802734375
1717141201.315012,1316,-521.0726318359375
1717141273.575788,1319,-330.0
1717141680.316523,1330,-2354.96044921875
1717141798.621337,1333,-601.7101440429688
1717141848.702887,1336,-330.1142578125
1717141861.05789,1337,-300.0
1717143348.710202,1385,-1464.710205078125
1717143482.185754,1388,-1240.0
1717143639.409322,1391,-400.1528015136719
1717143666.828304,1392,-590.0
1717144293.540894,1414,-400.1938781738281
1717144625.208889,1426,-971.8729248046875
1717144825.962972,1436,-551.6079711914062
1717144933.715636,1440,-400.47210693359375
1717145938.723195,1465,-310.0
1717145994.476519,1466,-1192.6309814453125
1717146444.329496,1477,-781.860595703125
1717146709.215316,1485,-270.0
1717146919.675713,1491,-500.6853942871094
1717147892.129406,1523,-1264.7481689453125
1717148019.376726,1527,-620.870849609375
1717148615.267907,1552,-409.5985412597656
1717149031.863474,1568,-490.27850341796875
1717149042.594644,1569,-300.0
1717149600.046445,1584,-640.563720703125
1717149723.863491,1588,-571.0219116210938
1717150226.588561,1604,-330.0068664550781
1717150251.362919,1605,-560.9682006835938
1717150838.828517,1627,330.8810729980469
1717150931.304269,1632,-300.0
1717151156.237759,1637,-681.3685913085938
1717151176.107917,1640,-330.23748779296875
1717151351.907604,1645,-500.8815002441406
1717151449.490349,1648,-1344.55126953125
1717151867.992883,1660,-711.9046630859375
1717152104.391349,1668,-300.0
1717152289.320526,1675,-300.0
1717152485.639579,1682,-310.0
1717152737.823331,1691,-120.0
1717152824.735767,1695,-420.0129699707031
1717152888.684959,1697,-1073.544677734375
1717152996.374935,1699,-885.6529541015625
1717153080.737791,1702,-800.6102905273438
1717153255.623493,1709,-310.0
1717153613.54433,1718,-1034.116455078125
1717154078.009165,1732,-843.107666015625
1717154142.292133,1734,-560.8318481445312
1717154290.239966,1737,-1162.302734375
1717154347.475729,1742,-50.0
1717154480.077204,1745,-751.2068481445312
1717154488.680979,1746,-330.0674133300781
1717155268.079717,1766,-260.0
1717155455.253375,1775,-500.2223205566406
1717155681.687343,1781,-130.0
1717155792.815603,1788,-1010.3323974609375
1717155827.210072,1789,-720.0
1717156020.504008,1798,-1084.177490234375
1717156276.167676,1805,-520.0426025390625
1717156932.758424,1826,-500.546875
1717157043.037479,1830,-581.7824096679688
1717157308.698871,1840,-980.0
1717157447.274181,1844,-2004.3328857421875
1717157662.281315,1853,-250.0
1717158291.227666,1866,-720.0
1717158353.513909,1869,-681.1992797851562
1717158523.094512,1875,-610.4432373046875
1717158583.654286,1877,-590.0
1717159783.143219,1911,-680.7189331054688
1717159917.139125,1917,-270.0
1717160344.526311,1934,-360.6182556152344
1717160646.260921,1944,-1103.9093017578125
1717160699.559256,1947,-581.2468872070312
1717160818.467733,1949,-1884.69140625
1717161385.924154,1967,-188.6168670654297
1717161982.970595,1981,-590.0
1717162062.387887,1983,-538.2198486328125
1717162790.17281,2001,-1763.5867919921875
1717162881.861545,2005,-389.2360534667969
1717163119.317731,2013,-2115.12255859375
1717163687.404194,2030,-440.8926086425781
1717163788.370979,2036,-330.0
1717164445.314654,2060,-580.3474731445312
1717164785.41611,2073,-1041.7674560546875
1717164941.319835,2076,856.1452026367188
1717165016.612894,2077,-1524.4783935546875
1717165087.78557,2081,-360.12078857421875
1717165295.109804,2085,-270.0
1717165360.74955,2089,-340.1340637207031
1717165551.612789,2096,-330.0
1717166140.257384,2111,-1143.476806640625
1717166987.709685,2145,-300.0
1717167039.987535,2149,-320.0
1717167181.786948,2156,-450.4595031738281
1717167509.247285,2165,-440.019287109375
1717167853.601093,2177,-411.19793701171875
1717168176.006203,2187,-590.0
1717168204.154435,2189,-251.3368682861328
1717168311.128793,2191,-370.15509033203125
1717168505.83069,2196,-560.6434936523438
1717168604.081833,2199,-742.1285400390625
1717168836.204977,2207,-720.0
1717168942.612992,2211,-362.5362243652344
1717169529.361472,2231,-1885.9390869140625
1717169673.713605,2236,-1041.269287109375
1717169683.755798,2237,-310.0
1717169696.696472,2239,-260.0
1717169836.522833,2242,-1110.0
1717169950.95366,2246,-320.0
1717169980.959864,2247,-761.3377075195312
1717170169.327122,2254,-481.3109436035156
1717170267.487193,2257,-1284.59228515625
1717170385.009145,2262,-300.17633056640625
1717170949.768596,2281,-400.3147888183594
1717171264.616052,2291,-843.1298217773438
1717171509.407674,2297,-460.0
1717171625.701741,2303,-260.0
1717171788.337085,2307,-360.71331787109375
1717172054.766022,2319,-410.77215576171875
1717172109.10923,2320,-1110.0
1717172770.605492,2345,-300.0
1717173041.458597,2354,-651.5321655273438
1717174012.53753,2389,-1520.6441650390625
1717174023.441457,2390,-310.0
1717174069.376394,2392,-720.0
1717175482.784736,2436,-1182.35009765625
1717175696.755212,2444,-260.0
1717175948.47873,2451,-1213.6820068359375
1717176067.731216,2453,-570.99169921875
1717176087.165243,2455,-320.11968994140625
1717176184.187806,2460,-100.0
1717177090.168844,2485,-280.0
1717177122.626552,2486,-863.1631469726562
1717177396.742883,2496,-300.0
1717177430.326277,2498,-410.05596923828125
1717177664.383177,2503,-570.405517578125
1717178151.32484,2517,-983.8318481445312
1717178350.420837,2523,-651.6245727539062
1717178740.699938,2532,-1073.303466796875
1717179152.485763,2547,-580.3057250976562
1717179206.605349,2551,-641.528076171875
1717179276.579601,2553,-980.0
1717180106.717119,2578,-861.5432739257812
1717180469.315418,2590,-780.0
1717180785.473984,2600,-1240.0
1717180887.235006,2606,-1303.501708984375
1717181456.773454,2623,-850.0
1717181665.376492,2629,-841.74462890625
1717181682.25441,2630,-521.7283935546875
1717182146.88445,2644,62.559715270996094
1717182249.615548,2650,-720.0
1717182409.753551,2655,-752.0504150390625
1717182945.920363,2678,-560.71142578125
1717183312.076052,2685,-772.384521484375
1717183419.468096,2690,-400.2323913574219
1717183821.431586,2703,-310.0
1717184049.629222,2710,-590.5385131835938
1717184550.958467,2725,-751.8340454101562
1717184769.64776,2737,-581.9309692382812
1717184846.077672,2740,-651.6007080078125
1717185248.981052,2754,-620.4529418945312
1717186298.274629,2789,-953.21435546875
1717186335.428414,2790,-189.92799377441406
1717186400.975262,2791,-1077.1719970703125
1717186996.366718,2809,-850.0
1717187480.755897,2824,-310.0
1717188755.813324,2872,-330.0
1717189203.021946,2881,-1523.0389404296875
1717189530.523086,2890,-1102.60302734375
1717189644.566689,2896,-280.0
1717190330.12416,2917,-548.8524780273438
1717190384.602904,2919,-250.0
1717190405.392784,2920,-460.0
1717192162.665716,2967,-320.0
1717192382.397114,2975,-310.0
1717192977.421066,2998,-601.2343139648438
1717193363.192076,3007,-1114.9560546875
1717193541.199303,3011,-1044.0606689453125
1717193636.771497,3015,-560.6690063476562
1717194009.611715,3027,-440.1040954589844
1717194077.728069,3030,-720.0
1717194334.065726,3038,-1155.5057373046875
1717194393.390344,3041,-310.0
1717195200.653438,3065,-1411.34912109375
1717195305.438355,3069,-310.0
1717195365.591764,3071,-986.0889892578125
1717196226.714437,3099,-720.0
1717197205.51435,3122,-1110.0
1717197674.722719,3137,-601.23974609375
1717197991.056599,3145,-300.0
1717198079.211011,3150,-590.0
1717198273.465905,3155,-260.0
1717198379.108929,3161,-460.0
1717198877.089335,3177,-771.7108154296875
1717199362.701838,3195,-732.8873291015625
1717199382.830022,3196,-500.21710205078125
1717199578.68797,3203,-260.0
1717199648.825172,3206,-270.0
1717200260.007296,3230,-671.9661254882812
1717200346.456545,3233,-481.5556945800781
1717200521.228,3240,-913.5099487304688
1717200572.020562,3243,-430.49395751953125
1717200588.939946,3244,-470.5097961425781
1717200629.675702,3246,-330.0
1717200655.588654,3247,-560.4041748046875
1717201519.375419,3272,-1024.28955078125
1717201734.493043,3281,-330.0
1717202513.164401,3305,-680.8069458007812
1717202740.358747,3313,-300.0
1717203208.812413,3327,-450.4653625488281
1717203219.526384,3328,-340.2062683105469
1717203645.94419,3345,-601.4306030273438
1717204351.375237,3374,-1456.27001953125
1717204382.731999,3376,-310.9789733886719
1717204580.34507,3386,-631.0943603515625
1717205036.037898,3403,-270.0
1717205222.844714,3408,-902.5056762695312
1717205757.920186,3430,-440.64959716796875
1717205951.024205,3438,-722.5746459960938
1717206201.802002,3449,-993.8690185546875
1717206289.115528,3451,-1520.4259033203125
1717206464.08876,3458,-400.56829833984375
1717206829.137205,3464,-1313.9305419921875
1717206985.586628,3471,-40.0
1717207172.842934,3477,-1110.0
1717207203.697553,3480,-100.35040283203125
1717207638.332549,3497,-440.0386047363281
1717208040.959942,3509,-1476.3895263671875
1717208094.910449,3512,-380.3638610839844
1717208726.544629,3535,-250.0
1717208744.089532,3537,-310.0
1717208912.03158,3543,-408.41217041015625
1717209040.458324,3547,-1206.2308349609375
1717209498.585263,3563,-1101.7779541015625
1717209965.248692,3580,-410.61737060546875
1717210424.546972,3600,-650.0
1717210830.127562,3618,-310.0
1717210861.085272,3620,-590.5376586914062
1717210894.147093,3622,-320.0
1717211074.710607,3625,-1765.2325439453125
1717211122.702526,3628,-300.0
1717211722.325241,3645,-470.298828125
1717212225.245767,3656,-310.0
1717212610.425023,3670,-510.25323486328125
1717213449.020485,3702,-300.0
1717214362.878166,3726,-450.2127685546875
1717214490.644239,3730,-432.0108642578125
1717214535.49362,3732,-300.0
1717214637.055957,3738,-400.1420593261719
1717214669.870847,3741,-330.0404052734375
1717214703.246101,3743,-500.3752746582031
1717214877.784498,3752,-1303.644287109375
1717215123.775833,3759,245.39117431640625
1717215623.154669,3772,-340.0664978027344
1717215837.404931,3780,-402.73626708984375
1717216213.123506,3793,-1804.9769287109375
1717216230.08132,3795,-250.0
1717216388.481126,3798,-1213.146240234375
1717216880.538497,3814,-330.0
1717217044.752001,3819,-912.8128051757812
1717217103.653271,3821,-720.0
1717217290.161363,3831,-583.1654663085938
1717217408.498904,3835,-300.0
1717218362.031592,3864,-257.139404296875
1717218432.945137,3869,-412.4078063964844
1717218602.550069,3876,-1225.313232421875
1717219786.113194,3920,-1083.0423583984375
1717220034.768005,3928,-1795.9189453125
1717220366.213733,3935,-1281.90185546875
1717220489.314004,3939,-763.4976196289062
1717220950.282412,3950,-1094.763671875
1717221095.817239,3956,-1906.51025390625
1717221271.251139,3962,-812.0791625976562
1717222068.672908,3984,-221.4003143310547
1717222447.4902,3995,-801.6533203125
1717222641.627131,4000,-720.0
1717222814.4406,4009,-300.0
1717222841.954274,4010,-701.79736328125
1717223111.572685,4022,-501.2270812988281
1717223306.523292,4033,-351.2055969238281
1717223403.680256,4036,-300.0
1717225023.552228,4093,-250.0
1717225227.77591,4098,-320.0
1717225296.894074,4099,-1203.7861328125
1717225524.305301,4109,-540.4323120117188
1717227532.876679,4182,-841.96826171875
1717227892.00024,4193,-1761.2694091796875
1717227962.526952,4194,-1503.7509765625
1717228067.09896,4196,-1877.9984130859375
1717228135.197274,4198,-661.3255004882812
1717228265.82906,4201,-751.5772705078125
1717228357.250493,4202,-1854.369384765625
1717229154.80634,4227,-400.2283630371094
1717229284.286614,4232,-400.2534484863281
1717229381.400591,4235,-1240.0
1717229653.87157,4243,-370.4240417480469
1717229909.377852,4254,-360.0607604980469
1717230138.376813,4263,-90.0
1717230199.071511,4266,-751.8681640625
1717230237.632501,4267,-921.4503784179688
1717230568.324096,4282,-310.2648620605469
1717230966.495207,4298,-310.0
